county,lung_cancer_per_100000,allpower_potential_state,Both_Chronic respiratory diseases,state,plant,lifetime_co2
Ada,49.9,8502145,54.6662454653901,ID,NA,NA
Adams,38.1,8502145,42.4749456373941,ID,NA,NA
Bannock,36.5,8502145,65.3272757135028,ID,NA,NA
Bear Lake,NA,8502145,60.0521973552648,ID,NA,NA
Benewah,58.7,8502145,80.3659029318737,ID,NA,NA
Bingham,35.2,8502145,58.8026676779734,ID,NA,NA
Blaine,31.4,8502145,36.492437944394,ID,NA,NA
Boise,48.5,8502145,50.9806789744287,ID,NA,NA
Bonner,51.9,8502145,50.0161497746717,ID,NA,NA
Bonneville,36.3,8502145,63.7466696319955,ID,NA,NA
Boundary,49.7,8502145,59.3290871196544,ID,NA,NA
Butte,NA,8502145,58.3761916698036,ID,NA,NA
Camas,NA,8502145,45.308779437909,ID,NA,NA
Canyon,54.5,8502145,63.2065715631759,ID,NA,NA
Caribou,NA,8502145,59.8049378708099,ID,NA,NA
Cassia,33.1,8502145,60.9827347068805,ID,NA,NA
Clark,NA,8502145,64.3897332714054,ID,NA,NA
Clearwater,70.5,8502145,69.499763063256,ID,NA,NA
Custer,39,8502145,48.7418689835711,ID,NA,NA
Elmore,72,8502145,64.4069120467324,ID,NA,NA
Franklin,NA,8502145,35.7471098769177,ID,NA,NA
Fremont,43,8502145,42.2705833945988,ID,NA,NA
Gem,51.2,8502145,66.9319613558133,ID,NA,NA
Gooding,50.3,8502145,61.0450286240624,ID,NA,NA
Idaho,43.1,8502145,57.8040689891287,ID,NA,NA
Jefferson,34.7,8502145,48.1523932171701,ID,NA,NA
Jerome,47.6,8502145,64.295673252946,ID,NA,NA
Kootenai,64.5,8502145,58.5952255189372,ID,NA,NA
Latah,47.9,8502145,47.6892861781139,ID,NA,NA
Lemhi,47.9,8502145,65.3911555119863,ID,NA,NA
Lewis,70.7,8502145,57.4003341704712,ID,NA,NA
Lincoln,NA,8502145,62.9597442260926,ID,NA,NA
Madison,NA,8502145,34.9781666406789,ID,NA,NA
Minidoka,34.9,8502145,52.9846895673467,ID,NA,NA
Nez Perce,67.3,8502145,62.1166774990942,ID,NA,NA
Oneida,NA,8502145,45.5473258847429,ID,NA,NA
Owyhee,34.7,8502145,64.7693748514394,ID,NA,NA
Payette,60.8,8502145,67.1157499239401,ID,NA,NA
Power,34.5,8502145,72.8916698718541,ID,NA,NA
Shoshone,80.5,8502145,74.4971761443797,ID,NA,NA
Teton,NA,8502145,32.8027872373186,ID,NA,NA
Twin Falls,48.3,8502145,71.9622927166811,ID,NA,NA
Valley,25.5,8502145,39.8529258732887,ID,NA,NA
Washington,50.9,8502145,58.6474402949099,ID,NA,NA
Beaverhead,46.1,11414659,65.2622342664722,MT,NA,NA
Big Horn,54.1,11414659,82.5842260106815,MT,NA,NA
Blaine,44.2,11414659,68.2725981169892,MT,NA,NA
Broadwater,66.6,11414659,47.7052047857186,MT,NA,NA
Carbon,31.2,11414659,55.0102951946472,MT,NA,NA
Carter,NA,11414659,67.6196972029877,MT,NA,NA
Cascade,59.4,11414659,72.2388427410197,MT,NA,NA
Chouteau,41.3,11414659,62.1582962194679,MT,NA,NA
Custer,62.4,11414659,77.58465936237,MT,NA,NA
Daniels,NA,11414659,58.497094630314,MT,NA,NA
Dawson,60.2,11414659,55.6408825902646,MT,NA,NA
Deer Lodge,65.1,11414659,86.5539236172076,MT,NA,NA
Fallon,NA,11414659,53.7308318794251,MT,NA,NA
Fergus,40.1,11414659,67.7872314584854,MT,NA,NA
Flathead,57.1,11414659,65.1929592791796,MT,NA,NA
Gallatin,29.8,11414659,42.966214121406,MT,NA,NA
Garfield,NA,11414659,55.1852418277389,MT,NA,NA
Glacier,49.5,11414659,89.0875494185249,MT,NA,NA
Golden Valley,NA,11414659,56.934921911628,MT,NA,NA
Granite,NA,11414659,61.5453649551023,MT,NA,NA
Hill,62.9,11414659,69.4463937209622,MT,NA,NA
Jefferson,43.4,11414659,70.6816374979596,MT,NA,NA
Judith Basin,NA,11414659,41.2136014799042,MT,NA,NA
Lake,56.9,11414659,55.0374335136204,MT,NA,NA
Lewis and Clark,50.3,11414659,68.6203416169686,MT,NA,NA
Liberty,NA,11414659,48.252539423399,MT,NA,NA
Lincoln,77.1,11414659,75.1457180619183,MT,NA,NA
McCone,NA,11414659,54.9173709454617,MT,NA,NA
Madison,39.5,11414659,46.9452905112602,MT,NA,NA
Meagher,NA,11414659,58.0863485232578,MT,NA,NA
Mineral,45.9,11414659,75.1189056450447,MT,NA,NA
Missoula,44.9,11414659,63.1956833973795,MT,NA,NA
Musselshell,59.2,11414659,90.3364412874747,MT,NA,NA
Park,42.3,11414659,51.5171098445334,MT,NA,NA
Petroleum,NA,11414659,63.2977559232875,MT,NA,NA
Phillips,45,11414659,76.2442111146375,MT,NA,NA
Pondera,70.3,11414659,61.4243465985591,MT,NA,NA
Powder River,NA,11414659,58.6828340653495,MT,NA,NA
Powell,75.7,11414659,71.6201957607607,MT,NA,NA
Prairie,NA,11414659,57.7724730463845,MT,NA,NA
Ravalli,40.7,11414659,59.0455338616845,MT,NA,NA
Richland,63,11414659,68.0311831004513,MT,NA,NA
Roosevelt,56.4,11414659,72.7632719014179,MT,NA,NA
Rosebud,53,11414659,66.4809100503868,MT,Colstrip Steam Plant,15.3
Rosebud,53,11414659,66.4809100503868,MT,Rosebud Power Plant,1.9
Sanders,54.3,11414659,57.9523979641057,MT,NA,NA
Sheridan,54,11414659,60.2798109777564,MT,NA,NA
Silver Bow,53.9,11414659,93.7216815419447,MT,NA,NA
Stillwater,36.8,11414659,61.9788316713314,MT,NA,NA
Sweet Grass,NA,11414659,50.9920424571067,MT,NA,NA
Teton,52.8,11414659,55.6354356438847,MT,NA,NA
Toole,48.7,11414659,77.9998348258145,MT,NA,NA
Treasure,NA,11414659,51.8839396499055,MT,NA,NA
Valley,43.7,11414659,58.0899856585636,MT,NA,NA
Wheatland,NA,11414659,50.128990460794,MT,NA,NA
Wibaux,NA,11414659,67.0022889160221,MT,NA,NA
Yellowstone,57.4,11414659,70.5301265410367,MT,Corette Plant,0
Albany,32.3,12218862,62.0508105338781,WY,NA,NA
Big Horn,44.8,12218862,60.4267841377801,WY,NA,NA
Campbell,57.8,12218862,91.6938543125107,WY,Dry Fork Station,60.9
Campbell,57.8,12218862,91.6938543125107,WY,Neil Simpson Power Plants,5.7
Campbell,57.8,12218862,91.6938543125107,WY,Wygen 2,12.7
Campbell,57.8,12218862,91.6938543125107,WY,Wygen I power station,9.5
Campbell,57.8,12218862,91.6938543125107,WY,Wygen III,16.7
Campbell,57.8,12218862,91.6938543125107,WY,Wyodak Power Plant,38.5
Carbon,45.7,12218862,75.3454246588469,WY,NA,NA
Converse,31.9,12218862,83.2465970166935,WY,Dave Johnston Power Plant,11.5
Crook,50.6,12218862,73.7728287994351,WY,NA,NA
Fremont,36.2,12218862,75.9913725682661,WY,NA,NA
Goshen,38.7,12218862,56.537083885474,WY,NA,NA
Hot Springs,38.9,12218862,69.3003084387088,WY,NA,NA
Johnson,59.1,12218862,62.2315099948723,WY,NA,NA
Laramie,47.5,12218862,71.9811243800555,WY,NA,NA
Lincoln,32,12218862,52.4213305907329,WY,Naughton Power Plant,5.9
Natrona,53.6,12218862,89.4071400223721,WY,NA,NA
