FY 2023 Crosswalk,,,,
County Name,State,FIPS County Code,FY 2023 CBSA ,FY 2023 CBSA Name 
AUTAUGA,AL,01001,33860,"Montgomery, AL"
BALDWIN,AL,01003,19300,"Daphne-Fairhope-Foley, AL"
BARBOUR,AL,01005,,
BIBB,AL,01007,13820,"Birmingham-Hoover, AL"
BLOUNT,AL,01009,13820,"Birmingham-Hoover, AL"
BULLOCK,AL,01011,,
BUTLER,AL,01013,,
CALHOUN,AL,01015,11500,"Anniston-Oxford, AL"
CHAMBERS,AL,01017,,
CHEROKEE,AL,01019,,
CHILTON,AL,01021,13820,"Birmingham-Hoover, AL"
CHOCTAW,AL,01023,,
CLARKE,AL,01025,,
CLAY,AL,01027,,
CLEBURNE,AL,01029,,
COFFEE,AL,01031,,
COLBERT,AL,01033,22520,"Florence-Muscle Shoals, AL"
CONECUH,AL,01035,,
COOSA,AL,01037,,
COVINGTON,AL,01039,,
CRENSHAW,AL,01041,,
CULLMAN,AL,01043,,
DALE,AL,01045,,
DALLAS,AL,01047,,
DE KALB,AL,01049,,
ELMORE,AL,01051,33860,"Montgomery, AL"
ESCAMBIA,AL,01053,,
ETOWAH,AL,01055,23460,"Gadsden, AL"
FAYETTE,AL,01057,,
FRANKLIN,AL,01059,,
GENEVA,AL,01061,20020,"Dothan, AL"
GREENE,AL,01063,46220,"Tuscaloosa, AL"
HALE,AL,01065,46220,"Tuscaloosa, AL"
HENRY,AL,01067,20020,"Dothan, AL"
HOUSTON,AL,01069,20020,"Dothan, AL"
JACKSON,AL,01071,,
JEFFERSON,AL,01073,13820,"Birmingham-Hoover, AL"
LAMAR,AL,01075,,
LAUDERDALE,AL,01077,22520,"Florence-Muscle Shoals, AL"
LAWRENCE,AL,01079,19460,"Decatur, AL"
LEE,AL,01081,12220,"Auburn-Opelika, AL"
LIMESTONE,AL,01083,26620,"Huntsville, AL"
LOWNDES,AL,01085,33860,"Montgomery, AL"
MACON,AL,01087,,
MADISON,AL,01089,26620,"Huntsville, AL"
MARENGO,AL,01091,,
MARION,AL,01093,,
MARSHALL,AL,01095,,
MOBILE,AL,01097,33660,"Mobile, AL"
MONROE,AL,01099,,
MONTGOMERY,AL,01101,33860,"Montgomery, AL"
MORGAN,AL,01103,19460,"Decatur, AL"
PERRY,AL,01105,,
PICKENS,AL,01107,46220,"Tuscaloosa, AL"
PIKE,AL,01109,,
RANDOLPH,AL,01111,,
RUSSELL,AL,01113,17980,"Columbus, GA-AL"
ST. CLAIR,AL,01115,13820,"Birmingham-Hoover, AL"
SHELBY,AL,01117,13820,"Birmingham-Hoover, AL"
SUMTER,AL,01119,,
TALLADEGA,AL,01121,,
TALLAPOOSA,AL,01123,,
TUSCALOOSA,AL,01125,46220,"Tuscaloosa, AL"
WALKER,AL,01127,,
WASHINGTON,AL,01129,33660,"Mobile, AL"
WILCOX,AL,01131,,
WINSTON,AL,01133,,
STATEWIDE,AL,01990,,
ALEUTIANS EAST,AK,02013,,
ALEUTIANS WEST,AK,02016,,
ANCHORAGE,AK,02020,11260,"Anchorage, AK"
BETHEL,AK,02050,,
BRISTOL BAY BOROUGH,AK,02060,,
CHUGACH CENSUS AREA,AK,02063,,
COPPER RIVER CENSUS AREA,AK,02066,,
DENALI,AK,02068,,
DILLINGHAM,AK,02070,,
FAIRBANKS NORTH STAR,AK,02090,21820,"Fairbanks, AK"
HAINES,AK,02100,,
HOONAH-ANGOON CENSUS AREA,AK,02105,,
JUNEAU,AK,02110,,
KENAI PENINSULA,AK,02122,,
KETCHIKAN GATEWAY,AK,02130,,
KODIAK ISLAND BOROUGH,AK,02150,,
